ID (REMOVE),SYMBOL,REW (Convert to Numbers),HGNC approved name,Pfam domains,HGNC gene family tag,HGNC gene family description,Function,Modification,Protein complex,Target molecule,Target entity,Product
8202,AIB1,Writer,nuclear receptor coactivator 3,"DUF1518 PF07469 1291-1348, Nuc_rec_co-act PF08815 1045-1095, PAS PF00989 113-210, PAS_11 PF14598 264-375, Pfam-B_10879 PB010879 1096-1195, Pfam-B_14009 PB014009 794-924, SRC-1 PF08832 616-704","KAT, bHLH","Chromatin-modifying enzymes / K-acetyltransferases, Basic helix-loop-helix proteins",Histone modification write,Histone acetylation,#,histone,#,#
8202,BHLHE42,Writer,nuclear receptor coactivator 3,"DUF1518 PF07469 1291-1348, Nuc_rec_co-act PF08815 1045-1095, PAS PF00989 113-210, PAS_11 PF14598 264-375, Pfam-B_10879 PB010879 1096-1195, Pfam-B_14009 PB014009 794-924, SRC-1 PF08832 616-704","KAT, bHLH","Chromatin-modifying enzymes / K-acetyltransferases, Basic helix-loop-helix proteins",Histone modification write,Histone acetylation,#,histone,#,#
8202,CAGH16,Writer,nuclear receptor coactivator 3,"DUF1518 PF07469 1291-1348, Nuc_rec_co-act PF08815 1045-1095, PAS PF00989 113-210, PAS_11 PF14598 264-375, Pfam-B_10879 PB010879 1096-1195, Pfam-B_14009 PB014009 794-924, SRC-1 PF08832 616-704","KAT, bHLH","Chromatin-modifying enzymes / K-acetyltransferases, Basic helix-loop-helix proteins",Histone modification write,Histone acetylation,#,histone,#,#
8202,KAT13B,Writer,nuclear receptor coactivator 3,"DUF1518 PF07469 1291-1348, Nuc_rec_co-act PF08815 1045-1095, PAS PF00989 113-210, PAS_11 PF14598 264-375, Pfam-B_10879 PB010879 1096-1195, Pfam-B_14009 PB014009 794-924, SRC-1 PF08832 616-704","KAT, bHLH","Chromatin-modifying enzymes / K-acetyltransferases, Basic helix-loop-helix proteins",Histone modification write,Histone acetylation,#,histone,#,#
8202,PCIP,Writer,nuclear receptor coactivator 3,"DUF1518 PF07469 1291-1348, Nuc_rec_co-act PF08815 1045-1095, PAS PF00989 113-210, PAS_11 PF14598 264-375, Pfam-B_10879 PB010879 1096-1195, Pfam-B_14009 PB014009 794-924, SRC-1 PF08832 616-704","KAT, bHLH","Chromatin-modifying enzymes / K-acetyltransferases, Basic helix-loop-helix proteins",Histone modification write,Histone acetylation,#,histone,#,#
8202,RAC3,Writer,nuclear receptor coactivator 3,"DUF1518 PF07469 1291-1348, Nuc_rec_co-act PF08815 1045-1095, PAS PF00989 113-210, PAS_11 PF14598 264-375, Pfam-B_10879 PB010879 1096-1195, Pfam-B_14009 PB014009 794-924, SRC-1 PF08832 616-704","KAT, bHLH","Chromatin-modifying enzymes / K-acetyltransferases, Basic helix-loop-helix proteins",Histone modification write,Histone acetylation,#,histone,#,#
8202,SRC-3,Writer,nuclear receptor coactivator 3,"DUF1518 PF07469 1291-1348, Nuc_rec_co-act PF08815 1045-1095, PAS PF00989 113-210, PAS_11 PF14598 264-375, Pfam-B_10879 PB010879 1096-1195, Pfam-B_14009 PB014009 794-924, SRC-1 PF08832 616-704","KAT, bHLH","Chromatin-modifying enzymes / K-acetyltransferases, Basic helix-loop-helix proteins",Histone modification write,Histone acetylation,#,histone,#,#
8202,SRC3,Writer,nuclear receptor coactivator 3,"DUF1518 PF07469 1291-1348, Nuc_rec_co-act PF08815 1045-1095, PAS PF00989 113-210, PAS_11 PF14598 264-375, Pfam-B_10879 PB010879 1096-1195, Pfam-B_14009 PB014009 794-924, SRC-1 PF08832 616-704","KAT, bHLH","Chromatin-modifying enzymes / K-acetyltransferases, Basic helix-loop-helix proteins",Histone modification write,Histone acetylation,#,histone,#,#
8202,TNRC16,Writer,nuclear receptor coactivator 3,"DUF1518 PF07469 1291-1348, Nuc_rec_co-act PF08815 1045-1095, PAS PF00989 113-210, PAS_11 PF14598 264-375, Pfam-B_10879 PB010879 1096-1195, Pfam-B_14009 PB014009 794-924, SRC-1 PF08832 616-704","KAT, bHLH","Chromatin-modifying enzymes / K-acetyltransferases, Basic helix-loop-helix proteins",Histone modification write,Histone acetylation,#,histone,#,#
57713,SFMBT2,Reader,Scm-like with four mbt domains 2,"DUF3588 PF12140 527-646, MBT PF02820 78-152 191-263 304-380 412-485, SAM_1 PF00536 822-885",SAMD,Sterile alpha motif (SAM) domain containing,"Histone modification read, Polycomb group (PcG) protein, TF",TF repressor,#,"histone, DNA","H3K9me2, H3K9me3, H3K27me3, H4K20me2, H4K20me3","H3, H4"
29128,UHRF1,Reader,ubiquitin-like with PHD and ring finger domains 1,"DUF3590 PF12148 140-236, PHD PF00628 317-366, SAD_SRA PF02182 415-586, ubiquitin PF00240 6-76",RNF,RING-type (C3HC4) zinc fingers,"Histone modification read, Histone modification write cofactor",Histone ubiquitination,#,"histone, DNA","H3K9me3, H3R2, H3, mCG",H3ub
115426,UHRF2,Reader,"ubiquitin-like with PHD and ring finger domains 2, E3 ubiquitin protein ligase","DUF3590 PF12148 177-261, PHD PF00628 346-395, SAD_SRA PF02182 444-616, ubiquitin PF00240 6-76","RNF, PHF","RING-type (C3HC4) zinc fingers, Zinc fingers, PHD-type",Histone modification read,#,#,"histone, DNA","H3K9me3, mCG",#
51105,PHF20L1,Reader,PHD finger protein 20-like 1,"DUF3776 PF12618 210-317 415-518, PHD PF00628 683-729, Pfam-B_37699 PB037699 791-849","TDRD, PHF","Tudor domain containing, Zinc fingers, PHD-type",Histone modification read,#,#,histone,H3K4me,#
22992,KDM2A,Eraser,lysine (K)-specific demethylase 2A,"F-box PF00646 889-935, JmjC PF02373 199-299, Pfam-B_11167 PB011167 362-470, Pfam-B_6618 PB006618 951-1149, Pfam-B_9841 PB009841 686-744, zf-CXXC PF02008 563-609","FBXL, KDM","F-boxes / Leucine-rich repeats, Chromatin-modifying enzymes / K-demethylases",Histone modification erase,Histone methylation,#,histone,H3K36me2,H3K36
22992,CXXC8,Eraser,lysine (K)-specific demethylase 2A,"F-box PF00646 889-935, JmjC PF02373 199-299, Pfam-B_11167 PB011167 362-470, Pfam-B_6618 PB006618 951-1149, Pfam-B_9841 PB009841 686-744, zf-CXXC PF02008 563-609","FBXL, KDM","F-boxes / Leucine-rich repeats, Chromatin-modifying enzymes / K-demethylases",Histone modification erase,Histone methylation,#,histone,H3K36me2,H3K36
22992,FBL11,Eraser,lysine (K)-specific demethylase 2A,"F-box PF00646 889-935, JmjC PF02373 199-299, Pfam-B_11167 PB011167 362-470, Pfam-B_6618 PB006618 951-1149, Pfam-B_9841 PB009841 686-744, zf-CXXC PF02008 563-609","FBXL, KDM","F-boxes / Leucine-rich repeats, Chromatin-modifying enzymes / K-demethylases",Histone modification erase,Histone methylation,#,histone,H3K36me2,H3K36
22992,FBL7,Eraser,lysine (K)-specific demethylase 2A,"F-box PF00646 889-935, JmjC PF02373 199-299, Pfam-B_11167 PB011167 362-470, Pfam-B_6618 PB006618 951-1149, Pfam-B_9841 PB009841 686-744, zf-CXXC PF02008 563-609","FBXL, KDM","F-boxes / Leucine-rich repeats, Chromatin-modifying enzymes / K-demethylases",Histone modification erase,Histone methylation,#,histone,H3K36me2,H3K36
22992,FBXL11,Eraser,lysine (K)-specific demethylase 2A,"F-box PF00646 889-935, JmjC PF02373 199-299, Pfam-B_11167 PB011167 362-470, Pfam-B_6618 PB006618 951-1149, Pfam-B_9841 PB009841 686-744, zf-CXXC PF02008 563-609","FBXL, KDM","F-boxes / Leucine-rich repeats, Chromatin-modifying enzymes / K-demethylases",Histone modification erase,Histone methylation,#,histone,H3K36me2,H3K36
22992,JHDM1A,Eraser,lysine (K)-specific demethylase 2A,"F-box PF00646 889-935, JmjC PF02373 199-299, Pfam-B_11167 PB011167 362-470, Pfam-B_6618 PB006618 951-1149, Pfam-B_9841 PB009841 686-744, zf-CXXC PF02008 563-609","FBXL, KDM","F-boxes / Leucine-rich repeats, Chromatin-modifying enzymes / K-demethylases",Histone modification erase,Histone methylation,#,histone,H3K36me2,H3K36
22992,LILINA,Eraser,lysine (K)-specific demethylase 2A,"F-box PF00646 889-935, JmjC PF02373 199-299, Pfam-B_11167 PB011167 362-470, Pfam-B_6618 PB006618 951-1149, Pfam-B_9841 PB009841 686-744, zf-CXXC PF02008 563-609","FBXL, KDM","F-boxes / Leucine-rich repeats, Chromatin-modifying enzymes / K-demethylases",Histone modification erase,Histone methylation,#,histone,H3K36me2,H3K36
22992,KIAA1004,Eraser,lysine (K)-specific demethylase 2A,"F-box PF00646 889-935, JmjC PF02373 199-299, Pfam-B_11167 PB011167 362-470, Pfam-B_6618 PB006618 951-1149, Pfam-B_9841 PB009841 686-744, zf-CXXC PF02008 563-609","FBXL, KDM","F-boxes / Leucine-rich repeats, Chromatin-modifying enzymes / K-demethylases",Histone modification erase,Histone methylation,#,histone,H3K36me2,H3K36
22992,DKFZP434M1735,Eraser,lysine (K)-specific demethylase 2A,"F-box PF00646 889-935, JmjC PF02373 199-299, Pfam-B_11167 PB011167 362-470, Pfam-B_6618 PB006618 951-1149, Pfam-B_9841 PB009841 686-744, zf-CXXC PF02008 563-609","FBXL, KDM","F-boxes / Leucine-rich repeats, Chromatin-modifying enzymes / K-demethylases",Histone modification erase,Histone methylation,#,histone,H3K36me2,H3K36
22992,FLJ00115,Eraser,lysine (K)-specific demethylase 2A,"F-box PF00646 889-935, JmjC PF02373 199-299, Pfam-B_11167 PB011167 362-470, Pfam-B_6618 PB006618 951-1149, Pfam-B_9841 PB009841 686-744, zf-CXXC PF02008 563-609","FBXL, KDM","F-boxes / Leucine-rich repeats, Chromatin-modifying enzymes / K-demethylases",Histone modification erase,Histone methylation,#,histone,H3K36me2,H3K36
8520,HAT1,Writer,histone acetyltransferase 1,Hat1_N PF10394 26-187,KAT,Chromatin-modifying enzymes / K-acetyltransferases,Histone modification write,Histone acetylation,#,histone,"H4, H2A",#
8520,KAT1,Writer,histone acetyltransferase 1,Hat1_N PF10394 26-187,KAT,Chromatin-modifying enzymes / K-acetyltransferases,Histone modification write,Histone acetylation,#,histone,"H4, H2A",#
9734,HDAC9,Eraser,histone deacetylase 9,"HDAC4_Gln PF12203 36-124, Hist_deacetyl PF00850 643-973, Pfam-B_5353 PB005353 577-624",#,#,Histone modification erase,Histone acetylation,#,histone,"H3Kac, H4Kac","H3K, H4K"
9734,MITR,Eraser,histone deacetylase 9,"HDAC4_Gln PF12203 36-124, Hist_deacetyl PF00850 643-973, Pfam-B_5353 PB005353 577-624",#,#,Histone modification erase,Histone acetylation,#,histone,"H3Kac, H4Kac","H3K, H4K"
9734,HD7,Eraser,histone deacetylase 10,"HDAC4_Gln PF12203 36-124, Hist_deacetyl PF00850 643-973, Pfam-B_5353 PB005353 577-625",#,#,Histone modification erase,Histone acetylation,#,histone,"H3Kac, H4Kac","H3K, H4K"
9734,HDAC7B,Eraser,histone deacetylase 11,"HDAC4_Gln PF12203 36-124, Hist_deacetyl PF00850 643-973, Pfam-B_5353 PB005353 577-626",#,#,Histone modification erase,Histone acetylation,#,histone,"H3Kac, H4Kac","H3K, H4K"
9734,KIAA0744,Eraser,histone deacetylase 12,"HDAC4_Gln PF12203 36-124, Hist_deacetyl PF00850 643-973, Pfam-B_5353 PB005353 577-627",#,#,Histone modification erase,Histone acetylation,#,histone,"H3Kac, H4Kac","H3K, H4K"
10014,HDAC5,Eraser,histone deacetylase 5,"HDAC4_Gln PF12203 66-133, Hist_deacetyl PF00850 693-1023",#,#,Histone modification erase,Histone acetylation,#,histone,"H2AKac, H2BKac, H3Kac, H4Kac","H2AK, H2BK, H3K, H4K"
546,RAD54L,Reader,RAD54-like (S. cerevisiae),"Helicase_C PF00271 531-611, Pfam-B_14570 PB014570 674-743, Rad54_N PF08658 33-138, SNF2_N PF00176 156-463",#,#,Chromatin remodeling,#,#,chromatin,#,#
8841,HDAC3,Eraser,histone deacetylase 3,"Hist_deacetyl PF00850 11-315, Pfam-B_3137 PB003137 353-383",#,#,Histone modification erase,Histone acetylation,#,histone,"H2AKac, H2BKac, H3Kac, H4Kac","H2AK, H2BK, H3K, H4K"
8841,HD3,Eraser,histone deacetylase 3,"Hist_deacetyl PF00850 11-315, Pfam-B_3137 PB003137 353-383",#,#,Histone modification erase,Histone acetylation,#,histone,"H2AKac, H2BKac, H3Kac, H4Kac","H2AK, H2BK, H3K, H4K"
8841,RPD3,Eraser,histone deacetylase 4,"Hist_deacetyl PF00850 11-315, Pfam-B_3137 PB003137 353-384",#,#,Histone modification erase,Histone acetylation,#,histone,"H2AKac, H2BKac, H3Kac, H4Kac","H2AK, H2BK, H3K, H4K"
8841,RPD3-2,Eraser,histone deacetylase 5,"Hist_deacetyl PF00850 11-315, Pfam-B_3137 PB003137 353-385",#,#,Histone modification erase,Histone acetylation,#,histone,"H2AKac, H2BKac, H3Kac, H4Kac","H2AK, H2BK, H3K, H4K"
8841,KDAC3,Eraser,histone deacetylase 6,"Hist_deacetyl PF00850 11-315, Pfam-B_3137 PB003137 353-386",#,#,Histone modification erase,Histone acetylation,#,histone,"H2AKac, H2BKac, H3Kac, H4Kac","H2AK, H2BK, H3K, H4K"
83933,HDAC10,Eraser,histone deacetylase 10,Hist_deacetyl PF00850 13-322,#,#,Histone modification erase,Histone acetylation,#,histone,"H2AKac, H2BKac, H3Kac, H4Kac","H2AK, H2BK, H3K, H4K"
55869,HDAC8,Eraser,histone deacetylase 8,"Hist_deacetyl PF00850 21-323, Pfam-B_15628 PB015628 324-375",#,#,Histone modification erase,Histone acetylation,#,histone,"H2AKac, H2BKac, H3Kac, H4Kac","H2AK, H2BK, H3K, H4K"
55869,HDACL1,Eraser,histone deacetylase 8,"Hist_deacetyl PF00850 21-323, Pfam-B_15628 PB015628 324-375",#,#,Histone modification erase,Histone acetylation,#,histone,"H2AKac, H2BKac, H3Kac, H4Kac","H2AK, H2BK, H3K, H4K"
55869,WTS,Eraser,histone deacetylase 8,"Hist_deacetyl PF00850 21-323, Pfam-B_15628 PB015628 324-375",#,#,Histone modification erase,Histone acetylation,#,histone,"H2AKac, H2BKac, H3Kac, H4Kac","H2AK, H2BK, H3K, H4K"
55869,MRXS6,Eraser,histone deacetylase 8,"Hist_deacetyl PF00850 21-323, Pfam-B_15628 PB015628 324-375",#,#,Histone modification erase,Histone acetylation,#,histone,"H2AKac, H2BKac, H3Kac, H4Kac","H2AK, H2BK, H3K, H4K"
55869,KDAC8,Eraser,histone deacetylase 8,"Hist_deacetyl PF00850 21-323, Pfam-B_15628 PB015628 324-375",#,#,Histone modification erase,Histone acetylation,#,histone,"H2AKac, H2BKac, H3Kac, H4Kac","H2AK, H2BK, H3K, H4K"
79885,HDAC11,Eraser,histone deacetylase 11,Hist_deacetyl PF00850 23-320,#,#,Histone modification erase,Histone acetylation,#,histone,"H2AKac, H2BKac, H3Kac, H4Kac","H2AK, H2BK, H3K, H4K"
3065,GON-10,Eraser,histone deacetylase 11,Hist_deacetyl PF00850 23-320,#,#,Histone modification erase,Histone acetylation,#,histone,"H2AKac, H2BKac, H3Kac, H4Kac","H2AK, H2BK, H3K, H4K"
3065,HD1,Eraser,histone deacetylase 12,Hist_deacetyl PF00850 23-321,#,#,Histone modification erase,Histone acetylation,#,histone,"H2AKac, H2BKac, H3Kac, H4Kac","H2AK, H2BK, H3K, H4K"
3065,KDAC1,Eraser,histone deacetylase 13,Hist_deacetyl PF00850 23-322,#,#,Histone modification erase,Histone acetylation,#,histone,"H2AKac, H2BKac, H3Kac, H4Kac","H2AK, H2BK, H3K, H4K"
3065,RPD3L1,Eraser,histone deacetylase 14,Hist_deacetyl PF00850 23-323,#,#,Histone modification erase,Histone acetylation,#,histone,"H2AKac, H2BKac, H3Kac, H4Kac","H2AK, H2BK, H3K, H4K"
9734,HDAC7,Eraser,histone deacetylase 7,"Hist_deacetyl PF00850 530-860, Pfam-B_5922 PB005922 1-148",#,#,Histone modification erase,Histone acetylation,#,histone,"H2AKac, H2BKac, H3Kac, H4Kac","H2AK, H2BK, H3K, H4K"
9734,HDAC7A,Eraser,histone deacetylase 7,"Hist_deacetyl PF00850 530-860, Pfam-B_5922 PB005922 1-148",#,#,Histone modification erase,Histone acetylation,#,histone,"H2AKac, H2BKac, H3Kac, H4Kac","H2AK, H2BK, H3K, H4K"
10013,HDAC6,Eraser,histone deacetylase 6,"Hist_deacetyl PF00850 95-403 489-799, zf-UBP PF02148 1133-1195",#,#,Histone modification erase,Histone acetylation,#,histone,"H2AKac, H2BKac, H3Kac, H4Kac","H2AK, H2BK, H3K, H4K"
9575,CLOCK,Writer,clock circadian regulator,"HLH PF00010 35-85, PAS PF00989 109-188, PAS_11 PF14598 273-381, Pfam-B_3081 PB003081 721-839, Pfam-B_7827 PB007827 571-719, Pfam-B_8264 PB008264 382-429","KAT, bHLH","Chromatin-modifying enzymes / K-acetyltransferases, Basic helix-loop-helix proteins",Histone modification write,Histone acetylation,#,histone,"H3, H4",#
9575,BHLHE8,Writer,clock circadian regulator,"HLH PF00010 35-85, PAS PF00989 109-188, PAS_11 PF14598 273-381, Pfam-B_3081 PB003081 721-839, Pfam-B_7827 PB007827 571-719, Pfam-B_8264 PB008264 382-429","KAT, bHLH","Chromatin-modifying enzymes / K-acetyltransferases, Basic helix-loop-helix proteins",Histone modification write,Histone acetylation,#,histone,"H3, H4",#
9575,KAT13D,Writer,clock circadian regulator,"HLH PF00010 35-85, PAS PF00989 109-188, PAS_11 PF14598 273-381, Pfam-B_3081 PB003081 721-839, Pfam-B_7827 PB007827 571-719, Pfam-B_8264 PB008264 382-429","KAT, bHLH","Chromatin-modifying enzymes / K-acetyltransferases, Basic helix-loop-helix proteins",Histone modification write,Histone acetylation,#,histone,"H3, H4",#
7468,WHSC1,Reader,Wolf-Hirschhorn syndrome candidate 1,"HMG_box PF00505 455-508, PHD PF00628 833-875, PWWP PF00855 220-332 878-968, SET PF00856 1074-1180",PHF,"Zinc fingers, PHD-type",Histone modification write,Histone methylation,#,histone,H3K27,H3K27me
6672,SP100,Reader,SP100 nuclear antigen,"HMG_box PF00505 769-837, HMG_box_2 PF09011 684-753, Pfam-B_182547 PB182547 845-873, Pfam-B_41802 PB041802 151-337, SAND PF01342 595-676, Sp100 PF03172 47-150",PHF,"Zinc fingers, PHD-type",Chromatin remodeling cofactor,#,#,chromatin,#,#
6419,SETMAR,Writer,SET domain and mariner transposase fusion gene,"HTH_Tnp_Tc3_2 PF01498 401-466, Pre-SET PF05033 16-118, SET PF00856 137-250, Transposase_1 PF01359 488-568",#,#,Histone modification write,Histone methylation,#,histone,"H3K4, H3K36","H3K4me, H3K36me"
55818,KDM3A,Eraser,lysine (K)-specific demethylase 3A,"JmjC PF02373 1151-1264, Pfam-B_14772 PB014772 851-889, Pfam-B_17027 PB017027 351-439, Pfam-B_6147 PB006147 441-539, Pfam-B_7111 PB007111 781-849",KDM,Chromatin-modifying enzymes / K-demethylases,Histone modification erase,Histone methylation,#,histone,"H3K9me1, H3K9me2",H3K9
55818,JHDM2A,Eraser,lysine (K)-specific demethylase 3A,"JmjC PF02373 1151-1264, Pfam-B_14772 PB014772 851-889, Pfam-B_17027 PB017027 351-439, Pfam-B_6147 PB006147 441-539, Pfam-B_7111 PB007111 781-849",KDM,Chromatin-modifying enzymes / K-demethylases,Histone modification erase,Histone methylation,#,histone,"H3K9me1, H3K9me2",H3K9
55818,TSGA,Eraser,lysine (K)-specific demethylase 3A,"JmjC PF02373 1151-1264, Pfam-B_14772 PB014772 851-889, Pfam-B_17027 PB017027 351-439, Pfam-B_6147 PB006147 441-539, Pfam-B_7111 PB007111 781-849",KDM,Chromatin-modifying enzymes / K-demethylases,Histone modification erase,Histone methylation,#,histone,"H3K9me1, H3K9me2",H3K9
23135,KDM6B,Eraser,lysine (K)-specific demethylase 6B,"JmjC PF02373 1377-1485, Pfam-B_5108 PB005108 101-843, Pfam-B_992 PB000992 1-99",KDM,Chromatin-modifying enzymes / K-demethylases,Histone modification erase,Histone methylation,#,histone,H3K27me2. H3K27me4,H3K28
23135,KIAA0346,Eraser,lysine (K)-specific demethylase 6B,"JmjC PF02373 1377-1485, Pfam-B_5108 PB005108 101-843, Pfam-B_992 PB000992 1-99",KDM,Chromatin-modifying enzymes / K-demethylases,Histone modification erase,Histone methylation,#,histone,H3K27me2. H3K27me4,H3K28
51780,KDM3B,Eraser,lysine (K)-specific demethylase 3B,"JmjC PF02373 1594-1704, Pfam-B_16202 PB016202 1548-1593, Pfam-B_16670 PB016670 1497-1546, Pfam-B_19299 PB019299 351-469, Pfam-B_22020 PB022020 711-779, Pfam-B_3525 PB003525 571-639, Pfam-B_38652 PB038652 1-39, Pfam-B_6147 PB006147 471-569, Pfam-B_7111 PB007111 781-839",KDM,Chromatin-modifying enzymes / K-demethylases,Histone modification erase,Histone methylation,#,histone,"H3K9me1, H3K9me2",H3K9
51780,NET22,Eraser,lysine (K)-specific demethylase 3B,"JmjC PF02373 1594-1704, Pfam-B_16202 PB016202 1548-1593, Pfam-B_16670 PB016670 1497-1546, Pfam-B_19299 PB019299 351-469, Pfam-B_22020 PB022020 711-779, Pfam-B_3525 PB003525 571-639, Pfam-B_38652 PB038652 1-39, Pfam-B_6147 PB006147 471-569, Pfam-B_7111 PB007111 781-840",KDM,Chromatin-modifying enzymes / K-demethylases,Histone modification erase,Histone methylation,#,histone,"H3K9me1, H3K9me3",H3K10
23210,JMJD6,Eraser,jumonji domain containing 6,"JmjC PF02373 174-288, Pfam-B_22969 PB022969 1-39",#,#,Histone modification erase,Histone methylation,#,histone,"H3R2me, H4R3me","H3R2, H4R3"
23210,PTDSR,Eraser,jumonji domain containing 6,"JmjC PF02373 174-288, Pfam-B_22969 PB022969 1-39",#,#,Histone modification erase,Histone methylation,#,histone,"H3R2me, H4R3me","H3R2, H4R3"
23210,PTDSR1,Eraser,jumonji domain containing 6,"JmjC PF02373 174-288, Pfam-B_22969 PB022969 1-39",#,#,Histone modification erase,Histone methylation,#,histone,"H3R2me, H4R3me","H3R2, H4R3"
9682,KDM4A,Reader,lysine (K)-specific demethylase 4A,"JmjC PF02373 175-291, JmjN PF02375 15-49, PHD_2 PF13831 732-767, zf-HC5HC2H_2 PF13832 773-884","KDM, TDRD","Chromatin-modifying enzymes / K-demethylases, Tudor domain containing",Histone modification erase,Histone methylation,#,histone,"H3K4me3, H3K36me3","H3K4me2, H3K36me2"
390245,KDM4E,Eraser,lysine (K)-specific demethylase 4E,"JmjC PF02373 176-292, JmjN PF02375 16-50",KDM,Chromatin-modifying enzymes / K-demethylases,Histone modification erase,Histone methylation,#,histone,"H3K9me2, H3K9me3",H3K9
390245,JMJD2E,Eraser,lysine (K)-specific demethylase 4E,"JmjC PF02373 176-292, JmjN PF02375 16-50",KDM,Chromatin-modifying enzymes / K-demethylases,Histone modification erase,Histone methylation,#,histone,"H3K9me2, H3K9me3",H3K9
390245,KDM4DL,Eraser,lysine (K)-specific demethylase 4E,"JmjC PF02373 176-292, JmjN PF02375 16-50",KDM,Chromatin-modifying enzymes / K-demethylases,Histone modification erase,Histone methylation,#,histone,"H3K9me2, H3K9me3",H3K9
390245,KDM5E,Eraser,lysine (K)-specific demethylase 4E,"JmjC PF02373 176-292, JmjN PF02375 16-50",KDM,Chromatin-modifying enzymes / K-demethylases,Histone modification erase,Histone methylation,#,histone,"H3K9me2, H3K9me3",H3K9
23030,KDM4B,Eraser,lysine (K)-specific demethylase 4B,"JmjC PF02373 176-292, JmjN PF02375 16-50, PHD_2 PF13831 754-789, Pfam-B_12059 PB012059 1021-1094, zf-HC5HC2H_2 PF13832 795-906","KDM, TDRD","Chromatin-modifying enzymes / K-demethylases, Tudor domain containing",Histone modification erase,Histone methylation,#,histone,H3K9me3,"H3K9me1, H3K9me2"
23030,TDRD14B,Eraser,lysine (K)-specific demethylase 4B,"JmjC PF02373 176-292, JmjN PF02375 16-50, PHD_2 PF13831 754-789, Pfam-B_12059 PB012059 1021-1094, zf-HC5HC2H_2 PF13832 795-906","KDM, TDRD","Chromatin-modifying enzymes / K-demethylases, Tudor domain containing",Histone modification erase,Histone methylation,#,histone,H3K9me3,"H3K9me1, H3K9me2"
23081,KDM4C,Reader,lysine (K)-specific demethylase 4C,"JmjC PF02373 177-293, JmjN PF02375 17-51, PHD_2 PF13831 712-747, Pfam-B_10616 PB010616 1021-1054, Pfam-B_14467 PB014467 422-670, Pfam-B_5109 PB005109 891-1019, zf-HC5HC2H_2 PF13832 753-864","KDM, TDRD","Chromatin-modifying enzymes / K-demethylases, Tudor domain containing",Histone modification erase,Histone methylation,#,histone,"H3K9me3, H3K36me3","H3K9me1, H3K9me2"
55693,KDM4D,Eraser,lysine (K)-specific demethylase 4D,"JmjC PF02373 179-295, JmjN PF02375 19-53, Pfam-B_45485 PB045485 324-356, Pfam-B_84013 PB084013 451-521",KDM,Chromatin-modifying enzymes / K-demethylases,Histone modification erase,Histone methylation,#,histone,H3K9me3,"H3K9me1, H3K9me2"
55693,JMJD2D,Eraser,lysine (K)-specific demethylase 4D,"JmjC PF02373 179-295, JmjN PF02375 19-53, Pfam-B_45485 PB045485 324-356, Pfam-B_84013 PB084013 451-521",KDM,Chromatin-modifying enzymes / K-demethylases,Histone modification erase,Histone methylation,#,histone,H3K9me3,"H3K9me1, H3K9me2"
55693,FLJ10251,Eraser,lysine (K)-specific demethylase 4D,"JmjC PF02373 179-295, JmjN PF02375 19-53, Pfam-B_45485 PB045485 324-356, Pfam-B_84013 PB084013 451-521",KDM,Chromatin-modifying enzymes / K-demethylases,Histone modification erase,Histone methylation,#,histone,H3K9me3,"H3K9me1, H3K9me2"
5253,PHF2,Reader,PHD finger protein 2,"JmjC PF02373 236-336, PHD PF00628 7-56, Pfam-B_3847 PB003847 851-988","KDM, PHF","Chromatin-modifying enzymes / K-demethylases, Zinc fingers, PHD-type",Histone modification erase,Histone methylation,#,histone,H3K9me2,H3K9
221037,JMJD1C,Eraser,jumonji domain containing 1C,"JmjC PF02373 2381-2481, Pfam-B_14856 PB014856 2090-2122, Pfam-B_15350 PB015350 2148-2224, Pfam-B_16501 PB016501 1889-1927, Pfam-B_17329 PB017329 541-947, Pfam-B_19453 PB019453 1929-2023, Pfam-B_2770 PB002770 220-524, Pfam-B_63706 PB063706 1-119",#,#,Histone modification erase,Histone methylation,#,histone,H3K9me,H3K9
221037,KDM3C,Eraser,jumonji domain containing 1C,"JmjC PF02373 2381-2481, Pfam-B_14856 PB014856 2090-2122, Pfam-B_15350 PB015350 2148-2224, Pfam-B_16501 PB016501 1889-1927, Pfam-B_17329 PB017329 541-947, Pfam-B_19453 PB019453 1929-2023, Pfam-B_2770 PB002770 220-524, Pfam-B_63706 PB063706 1-119",#,#,Histone modification erase,Histone methylation,#,histone,H3K9me,H3K9
221037,FLJ14374,Eraser,jumonji domain containing 1C,"JmjC PF02373 2381-2481, Pfam-B_14856 PB014856 2090-2122, Pfam-B_15350 PB015350 2148-2224, Pfam-B_16501 PB016501 1889-1927, Pfam-B_17329 PB017329 541-947, Pfam-B_19453 PB019453 1929-2023, Pfam-B_2770 PB002770 220-524, Pfam-B_63706 PB063706 1-119",#,#,Histone modification erase,Histone methylation,#,histone,H3K9me,H3K9
221037,KIAA1380,Eraser,jumonji domain containing 1C,"JmjC PF02373 2381-2481, Pfam-B_14856 PB014856 2090-2122, Pfam-B_15350 PB015350 2148-2224, Pfam-B_16501 PB016501 1889-1927, Pfam-B_17329 PB017329 541-947, Pfam-B_19453 PB019453 1929-2023, Pfam-B_2770 PB002770 220-524, Pfam-B_63706 PB063706 1-119",#,#,Histone modification erase,Histone methylation,#,histone,H3K9me,H3K9
